trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9930244429332351}",20,10,10.557016778761287,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.9, 'e': 0.9860975442628619}",35,0,-280.10026344905265,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 5}",0
3,False,"{'a': 0.9, 'e': 0.9792189645694596}",30,0,-98.31936345882227,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.9723883668012469}",20,0,-43.926247500509845,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.9, 'e': 0.9656054162575665}",20,0,-19.10657187310002,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9588697805724845}",20,0,-128.3972570372531,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9521811296985049}",20,0,-148.2318585337595,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.9455391358903963}",25,0,-106.56316554788054,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9389434736891332}",30,0,-60.11416655095803,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9323938199059483}",25,0,-172.96750445681926,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.9, 'e': 0.9258898536064953}",25,0,-154.77720444648767,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.9194312560951247}",25,0,-79.64032881268571,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9130177108992658}",20,0,-51.9933274444416,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9066489037539209}",20,0,-81.85911845740574,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.9003245225862656}",35,0,-237.99307615371475,"{0: 21, 1: 1, 2: 7, 3: 3, 4: 3}",0
16,False,"{'a': 0.9, 'e': 0.8940442575003572}",35,11,-66.9300992160337,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.8878078007619501}",20,1,-65.37856810660753,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.8816148467834161}",20,2,-70.79715162327015,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.8754650921087711}",20,0,-108.34813519707029,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.8693582353988059}",20,0,-144.57531598899263,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.8632939774163194}",20,0,-67.76360490144722,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.8572720210114575}",25,0,-28.899088893583915,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.8512920711071511}",25,0,-60.1296188075166,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.8453538346846587}",20,0,-159.929159798889,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.8394570207692074}",20,0,-64.71401141295914,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.8336013404157353}",20,0,-66.51289364234931,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.8277865066947336}",25,0,-94.37068710205642,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.8220122346781865}",30,0,-132.92362281729706,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
29,False,"{'a': 0.9, 'e': 0.8162782414256099}",25,0,-140.54235869227864,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
30,False,"{'a': 0.9, 'e': 0.8105842459701871}",20,0,-74.29541963814933,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.8049299693050015}",25,15,-29.030264235666273,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.7993151343693651}",20,0,-92.44221389643596,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.9, 'e': 0.7937394660352427}",20,0,-43.60748700607485,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.7882026910937704}",20,11,-14.292725613398167,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.7827045382418681}",20,7,-10.857877296741249,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.7772447380689461}",25,0,-128.21973646535633,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.9, 'e': 0.7718230230437034}",30,0,-143.16260688903566,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.9, 'e': 0.7664391275010192}",30,0,-57.30289935326578,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.9, 'e': 0.7610927876289343}",25,0,-164.25965246457835,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
40,False,"{'a': 0.9, 'e': 0.7557837414557255}",20,15,-3.478628898154247,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.750511728837068}",25,0,-147.3563346714759,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
42,False,"{'a': 0.9, 'e': 0.7452764914432887}",25,0,-139.12083011224635,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
43,False,"{'a': 0.9, 'e': 0.7400777727467076}",20,0,-29.310433691994685,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.9, 'e': 0.7349153180090687}",20,0,-39.90767848984825,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.9, 'e': 0.7297888742690568}",20,0,-137.88598977615274,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
46,False,"{'a': 0.9, 'e': 0.7246981903299029}",20,0,-13.747665531806991,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.7196430167470754}",20,14,-2.930068761551534,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.7146231058160573}",20,11,-33.62805764971383,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.7096382115602087}",20,0,-23.596216933738248,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.7046880897187134}",35,0,-77.37044829599157,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.9, 'e': 0.699772497734611}",30,7,-126.01718732893691,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
52,False,"{'a': 0.9, 'e': 0.6948911947429106}",25,0,-78.34559203495726,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.690043941558789}",25,0,-103.57426330508716,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.9, 'e': 0.6852305006658703}",30,0,-96.26115244843524,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.6804506362045877}",20,0,-83.67270663659016,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.675704113960626}",25,0,-165.83749218307585,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.9, 'e': 0.6709907013534459}",20,0,-7.57684009746933,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.9, 'e': 0.6663101674248864}",30,4,-138.99969368342303,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 3}",1
59,False,"{'a': 0.9, 'e': 0.6616622828278483}",30,0,-123.73895268715658,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.6570468198150567}",25,10,-78.05452447756808,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
61,False,"{'a': 0.9, 'e': 0.6524635522279004}",20,8,-36.1441849943743,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.6479122554853506}",35,0,-65.27976701170488,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.6433927065729562}",35,0,-151.4421357347988,"{0: 25, 1: 3, 2: 3, 3: 1, 4: 3}",0
64,False,"{'a': 0.9, 'e': 0.6389046840319162}",25,0,-130.19133844396416,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.9, 'e': 0.6344479679482282}",35,0,-55.46897437624345,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.9, 'e': 0.6300223399419123}",20,0,-4.900778105862887,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.9, 'e': 0.6256275831563107}",20,0,-138.04416802282748,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
68,False,"{'a': 0.9, 'e': 0.6212634822474616}",20,0,-85.0188879511251,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
69,False,"{'a': 0.9, 'e': 0.6169298233735474}",20,0,-45.68324632148381,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.6126263941844161}",30,0,-37.10785208790954,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.9, 'e': 0.6083529838111763}",20,9,-1.991701961692453,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.6041093828558647}",30,0,-118.47169807251922,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
73,False,"{'a': 0.9, 'e': 0.5998953833811855}",25,0,-41.22790041731743,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.5957107789003212}",25,10,13.460210189908144,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.9, 'e': 0.5915553643668151}",20,0,-2.623420541493841,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.5874289361645234}",30,0,-75.03702779796807,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.5833312920976388}",20,8,-50.095841098138756,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.9, 'e': 0.579262231380782}",20,0,-81.73968737267943,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.9, 'e': 0.5752215546291638}",30,11,-14.13464233235995,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.5712090638488149}",25,8,-73.11774054090465,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.5672245624268841}",35,0,-77.08931662313772,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.5632678551220046}",30,0,-98.79457902067824,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
83,False,"{'a': 0.9, 'e': 0.5593387480547268}",25,0,-43.205738611352615,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.5554370486980182}",20,8,-61.20224478429325,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.9, 'e': 0.5515625658678298}",20,0,-63.990066433288575,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.5477151097137275}",30,11,-84.78838100604423,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.5438944917095899}",25,16,7.683698295335299,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.5401005246443706}",30,12,6.368154607361484,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.5363330226129241}",20,0,-61.829644905765505,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.5325918010068972}",30,12,20.395792823662003,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.5288766765056825}",25,6,8.120835659673562,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.5251874670674361}",20,0,-98.75474101747555,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
93,False,"{'a': 0.9, 'e': 0.5215239919201575}",30,4,9.658852789493569,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.5178860715528314}",25,0,-48.58656761238308,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.9, 'e': 0.5142735277066319}",25,7,-59.9278278725375,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
96,False,"{'a': 0.9, 'e': 0.5106861833661879}",30,4,-16.85900935411902,"{0: 23, 1: 0, 2: 1, 3: 2, 4: 0}",1
